('time,pressure,temperature,'humidity,gyro_x,gyro_y,gyro_z,uv_index,ir_light,visible_light,eco2,tvoc,rawh2,rawethanol,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,latitude,longitude,altitude,speed,course,acc,gyro,mag),
('2021-03-27 14:37:24.984396',101.75,24.32,-53.94,-0.61,-17.88,1.22,5.71,9038.0,1325.0,400.0,1.0,14858.0,18878.0,-0.29,-0.04,1.0,17.64,6.6,-35.5,0.0,0.0,0.0,0.0,0.0,1.041969289,17.93195193,40.18680878),
('2021-03-27 14:37:26.204416',101.74,24.38,-53.72,-0.37,0.31,-0.55,5.66,8953.0,1314.0,400.0,0.0,14849.0,18872.0,-0.15,-0.05,1.0,17.1,6.32,-35.4,0.0,0.0,0.0,0.0,0.0,1.012422837,0.7317786551,39.81849319),
('2021-03-27 14:37:27.364365',101.75,24.51,-53.9,-0.55,0.61,-0.31,5.66,8939.0,1314.0,400.0,0.0,14846.0,18872.0,-0.15,-0.05,1.0,17.7,6.26,-35.2,0.0,0.0,0.0,0.0,0.0,1.012422837,0.8778952101,39.8938291),
('2021-03-27 14:37:29.030065',101.75,24.6,-53.9,-0.31,0.31,-0.37,5.68,8978.0,1317.0,400.0,0.0,14846.0,18880.0,-0.15,-0.05,1.0,17.27,6.05,-35.8,0.0,0.0,0.0,0.0,0.0,1.012422837,0.5736723804,40.20566378),
('2021-03-27 14:37:30.660185',101.75,24.62,-53.88,-0.61,0.24,-0.31,5.66,8929.0,1314.0,400.0,0.0,14860.0,18882.0,-0.15,-0.05,1.0,17.97,5.77,-34.8,0.0,0.0,0.0,0.0,0.0,1.012422837,0.7251206796,39.58855643),
('2021-03-27 14:37:32.855100',101.75,24.62,-53.7,-0.61,0.31,-0.18,5.65,8938.0,1312.0,400.0,1.0,14847.0,18877.0,-0.15,-0.05,0.99,18.24,6.29,-33.8,0.0,0.0,0.0,0.0,0.0,1.002546757,0.7075309181,38.9191688),
('2021-03-27 14:37:36.055406',101.74,24.73,-53.77,-0.43,0.24,-0.37,5.63,8887.0,1307.0,400.0,0.0,14848.0,18875.0,-0.15,-0.05,1.0,18.6,5.44,-33.7,0.0,0.0,0.0,0.0,0.0,1.012422837,0.6159545438,38.87471672),
('2021-03-27 14:37:48.719795',101.75,24.75,-53.76,-0.37,0.37,-0.24,5.65,8924.0,1312.0,400.0,0.0,14850.0,18885.0,-0.15,-0.05,0.99,17.46,6.35,-36.1,44.260859860000004,26.00251756,163.8,0.0,0.0,1.002546757,0.5756735186,40.6002968),
('2021-03-27 14:37:51.774810',101.75,24.75,-54.02,-0.55,0.18,-0.31,5.65,8923.0,1311.0,400.0,0.0,14862.0,18885.0,-0.15,-0.05,0.99,18.49,6.18,-34.2,44.26084917,26.002504979999998,170.8,0.0,0.0,1.002546757,0.6565059025,39.36638795),
('2021-03-27 14:37:53.890185',101.75,24.7,-53.83,-0.49,0.18,-0.43,5.64,8913.0,1309.0,400.0,0.0,14881.0,18896.0,-0.15,-0.05,1.0,18.05,6.65,-36.2,44.26084941,26.00249754,172.8,0.0,0.0,1.012422837,0.6763135368,40.99347509),
('2021-03-27 14:37:57.170152',101.75,24.72,-53.82,-0.31,0.06,-0.49,5.64,8912.0,1311.0,400.0,0.0,14874.0,18894.0,-0.15,-0.05,0.99,18.59,7.02,-34.9,44.26085075,26.002496,172.4,0.0,0.0,1.002546757,0.5829236657,40.16065861),
('2021-03-27 14:38:00.445652',101.75,24.72,-53.72,-0.24,0.43,-0.43,5.65,8916.0,1311.0,400.0,0.0,14874.0,18894.0,-0.15,-0.05,0.99,17.83,6.88,-34.4,44.26085054,26.002496,172.5,0.0,0.0,1.002546757,0.6537583651,39.35229726),
('2021-03-27 14:38:05.045009',101.75,24.7,-53.69,-0.43,0.24,-0.43,5.65,8914.0,1311.0,400.0,0.0,14917.0,18922.0,-0.15,-0.05,0.99,17.96,6.2,-34.0,44.26089543,26.00246535,157.2,0.0,0.0,1.002546757,0.6537583651,38.94870473),
